leto,mesto,drzava,pesem,izvajalec,tocke,tocke_publike,tocke_zirije,startna_stevilka
1956,1,Switzerland,Refrain,Lys Assia,,,,9
1957,1,Netherlands,Net als toen,Corry Brokken,31,,,6
1957,2,France,La Belle Amour,Paule Desjardins,17,,,8
1957,3,Denmark,Skibet skal sejle i nat,Birthe Wilke & Gustav Winckler,10,,,9
1957,4,Luxembourg,Tant de peine,Danièle Dupré,8,,,2
1957,4,Germany,"Telefon, Telefon",Margot Hielscher,8,,,7
1957,6,Italy,Corde della mia chitarra,Nunzio Gallo,7,,,4
1957,7,United Kingdom,All,Patricia Bredin,6,,,3
1957,8,Belgium,Straatdeuntje,Bobbejaan Schoepen,5,,,1
1957,8,Switzerland,L'Enfant que j'étais,Lys Assia,5,,,10
1957,10,Austria,"Wohin, kleines Pony?",Bob Martin,3,,,5
1958,1,France,Dors mon amour,André Claveau,27,,,3
1958,2,Switzerland,Giorgio,Lys Assia,24,,,10
1958,3,Italy,"Nel blu, dipinto di blu",Domenico Modugno,13,,,1
1958,4,Sweden,Lilla stjärna,Alice Babs,10,,,5
1958,5,Belgium,Ma petite chatte,Fud Leclerc,8,,,7
1958,5,Austria,Die ganze Welt braucht Liebe,Liane Augustin,8,,,9
1958,7,Germany,Für zwei Groschen Musik,Margot Hielscher,5,,,8
1958,8,Denmark,Jeg rev et blad ud af min dagbog,Raquel Rastenni,3,,,6
1958,9,Netherlands,Heel de wereld,Corry Brokken,1,,,2
1958,9,Luxembourg,Un grand amour,Solange Berry,1,,,4
1959,1,Netherlands,Een beetje,Teddy Scholten,21,,,5
1959,2,United Kingdom,Sing Little Birdie,Pearl Carr & Teddy Johnson,16,,,10
1959,3,France,"Oui, oui, oui, oui",Jean Philippe,15,,,1
1959,4,Switzerland,Irgendwoher,Christa Williams,14,,,8
1959,5,Denmark,"Uh, jeg ville ønske jeg var dig",Birthe Wilke,12,,,2
1959,6,Italy,Piove,Domenico Modugno,9,,,3
1959,6,Belgium,Hou toch van mij,Bob Benny,9,,,11
1959,8,Germany,Heut' woll'n wir tanzen geh'n,Alice and Ellen Kessler,5,,,6
1959,9,Sweden,Augustin,Brita Borg,4,,,7
1959,9,Austria,Der K. und K. Kalypso aus Wien,Ferry Graf,4,,,9
1959,11,Monaco,Mon ami Pierrot,Jacques Pills,1,,,4
1960,1,France,Tom Pillibi,Jacqueline Boyer,32,,,13
1960,2,United Kingdom,"Looking High, High, High",Bryan Johnson,25,,,1
1960,3,Monaco,Ce soir-là,François Deguelt,15,,,8
1960,4,Norway,Voi-voi,Nora Brockstedt,11,,,6
1960,4,Germany,Bonne nuit ma chérie,Wyn Hoop,11,,,11
1960,6,Belgium,Mon amour pour toi,Fud Leclerc,9,,,5
1960,7,Austria,Du hast mich so fasziniert,Harry Winter,6,,,7
1960,8,Switzerland,Cielo e terra,Anita Traversi,5,,,9
1960,8,Italy,Romantica,Renato Rascel,5,,,12
1960,10,Sweden,Alla andra får varann,Siw Malmkvist,4,,,2
1960,10,Denmark,Det var en yndig tid,Katy Bødtger,4,,,4
1960,12,Netherlands,Wat een geluk,Rudi Carrell,2,,,10
1960,13,Luxembourg,So laang we's du do bast,Camillo Felgen,1,,,3
1961,1,Luxembourg,Nous les amoureux,Jean-Claude Pascal,31,,,14
1961,2,United Kingdom,Are You Sure?,The Allisons,24,,,15
1961,3,Switzerland,Nous aurons demain,Franca di Rienzo,16,,,10
1961,4,France,"Printemps, avril carillonne",Jean-Paul Mauric,13,,,9
1961,5,Denmark,Angelique,Dario Campeotto,12,,,13
1961,5,Italy,Al di là,Betty Curtis,12,,,16
1961,7,Norway,Sommer i Palma,Nora Brockstedt,10,,,12
1961,8,Yugoslavia,Neke davne zvezde,Ljiljana Petrović,9,,,5
1961,9,Spain,Estando contigo,Conchita Bautista,8,,,1
1961,10,Monaco,"Allons, allons les enfants",Colette Deréal,6,,,2
1961,10,Finland,Valoa ikkunassa,Laila Kinnunen,6,,,4
1961,10,Netherlands,Wat een dag,Greetje Kauffeld,6,,,6
1961,13,Germany,Einmal sehen wir uns wieder,Lale Andersen,3,,,8
1961,14,Sweden,"April, april",Lill-Babs,2,,,7
1961,15,Austria,Sehnsucht,Jimmy Makulis,1,,,3
1961,15,Belgium,"September, gouden roos",Bob Benny,1,,,11
1962,1,France,Un premier amour,Isabelle Aubret,26,,,9
1962,2,Monaco,Dis rien,François Deguelt,13,,,16
1962,3,Luxembourg,Petit bonhomme,Camillo Felgen,11,,,14
1962,4,Yugoslavia,Ne pali svetla u sumrak,Lola Novaković,10,,,12
1962,4,United Kingdom,Ring-A-Ding Girl,Ronnie Carroll,10,,,13
1962,6,Germany,Zwei kleine Italiener,Conny Froboess,9,,,7
1962,7,Finland,Tipi-tii,Marion Rung,4,,,1
1962,7,Sweden,Sol och vår,Inger Berggren,4,,,6
1962,9,Italy,"Addio, addio",Claudio Villa,3,,,15
1962,10,Denmark,Vuggevise,Ellen Winther,2,,,5
1962,10,Norway,"Kom sol, kom regn",Inger Jacobsen,2,,,10
1962,10,Switzerland,Le Retour,Jean Philippe,2,,,11
1962,13,Belgium,Ton nom,Fud Leclerc,0,,,2
1962,13,Spain,Llámame,Victor Balaguer,0,,,3
1962,13,Austria,Nur in der Wiener Luft,Eleonore Schwarz,0,,,4
1962,13,Netherlands,Katinka,De Spelbrekers,0,,,8
1963,1,Denmark,Dansevise,Grethe & Jørgen Ingmann,42,,,8
1963,2,Switzerland,T'en vas pas,Esther Ofarim,40,,,10
1963,3,Italy,Uno per tutte,Emilio Pericoli,37,,,6
1963,4,United Kingdom,Say Wonderful Things,Ronnie Carroll,28,,,1
1963,5,France,Elle était si jolie,Alain Barrière,25,,,11
1963,5,Monaco,L'amour s'en va,Françoise Hardy,25,,,15
1963,7,Austria,Vielleicht geschieht ein Wunder,Carmela Corren,16,,,4
1963,8,Luxembourg,À force de prier,Nana Mouskouri,13,,,16
1963,9,Germany,Marcel,Heidi Brühl,5,,,3
1963,10,Belgium,Waarom?,Jacques Raymond,4,,,14
1963,11,Yugoslavia,Brodovi,Vice Vukov,3,,,9
1963,12,Spain,Algo prodigioso,José Guardiola,2,,,12
1963,13,Netherlands,Een speeldoos,Annie Palmen,0,,,2
1963,13,Norway,Solhverv,Anita Thallaug,0,,,5
1963,13,Finland,Muistojeni laulu,Laila Halme,0,,,7
1963,13,Sweden,En gång i Stockholm,Monica Zetterlund,0,,,13
1964,1,Italy,Non ho l'età,Gigliola Cinquetti,49,,,12
1964,2,United Kingdom,I Love the Little Things,Matt Monro,17,,,8
1964,3,Monaco,Où sont-elles passées?,Romuald,15,,,10
1964,4,Luxembourg,Dès que le printemps revient,Hugues Aufray,14,,,1
1964,4,France,Le Chant de Mallory,Rachel,14,,,7
1964,6,Austria,"Warum nur, warum?",Udo Jürgens,11,,,6
1964,7,Finland,Laiskotellen,Lasse Mårtenson,9,,,5
1964,8,Norway,Spiral,Arne Bendiksen,6,,,3
1964,9,Denmark,Sangen om dig,Bjørn Tidmand,4,,,4
1964,10,Netherlands,Jij bent mijn leven,Anneke Grönloh,2,,,2
1964,10,Belgium,Près de ma rivière,Robert Cogoi,2,,,15
1964,12,Spain,Caracola,"Tim, Nelly and Tony",1,,,16
1964,13,Germany,Man gewöhnt sich so schnell an das Schöne,Nora Nova,0,,,9
1964,13,Portugal,Oração,António Calvário,0,,,11
1964,13,Yugoslavia,Život je sklopio krug,Sabahudin Kurt,0,,,13
1964,13,Switzerland,I miei pensieri,Anita Traversi,0,,,14
1965,1,Luxembourg,"Poupée de cire, poupée de son",France Gall,32,,,15
1965,2,United Kingdom,I Belong,Kathy Kirby,26,,,2
1965,3,France,N'avoue jamais,Guy Mardel,22,,,11
1965,4,Austria,"Sag ihr, ich lass sie grüßen",Udo Jürgens,16,,,6
1965,5,Italy,"Se piangi, se ridi",Bobby Solo,15,,,13
1965,6,Ireland,I'm Walking the Streets in the Rain,Butch Moore,11,,,4
1965,7,Denmark,For din skyld,Birgit Brüel,10,,,14
1965,8,Switzerland,"Non, à jamais sans toi",Yovanna,8,,,18
1965,9,Monaco,Va dire à l'amour,Marjorie Noël,7,,,9
1965,10,Sweden,Absent Friend,Ingvar Wixell,6,,,10
1965,11,Netherlands,Het is genoeg,Conny Vandenbos,5,,,1
1965,12,Yugoslavia,Čežnja,Vice Vukov,2,,,17
1965,13,Norway,Karusell,Kirsti Sparboe,1,,,7
1965,13,Portugal,Sol de inverno,Simone de Oliveira,1,,,12
1965,15,Spain,"Qué bueno, qué bueno",Conchita Bautista,0,,,3
1965,15,Germany,"Paradies, wo bist du",Ulla Wiesner,0,,,5
1965,15,Belgium,Als het weer lente is,Lize Marke,0,,,8
1965,15,Finland,Aurinko laskee länteen,Viktor Klimenko,0,,,16
1966,1,Austria,Merci Chérie,Udo Jürgens,31,,,9
1966,2,Sweden,Nygammal vals,Lill Lindfors & Svante Thuresson,16,,,10
1966,3,Norway,Intet er nytt under solen,Åse Kleveland,15,,,6
1966,4,Belgium,"Un peu de poivre, un peu de sel",Tonia,14,,,3
1966,4,Ireland,Come Back to Stay,Dickie Rock,14,,,17
1966,6,Switzerland,Ne vois-tu pas ?,Madeleine Pascal,12,,,12
1966,7,Yugoslavia,Brez besed,Berta Ambrož,9,,,5
1966,7,Spain,Yo soy aquél,Raphael,9,,,11
1966,9,United Kingdom,A Man Without Love,Kenneth McKellar,8,,,18
1966,10,Germany,Die Zeiger der Uhr,Margot Eskens,7,,,1
1966,10,Luxembourg,Ce soir je t'attendais,Michèle Torr,7,,,4
1966,10,Finland,Playboy,Ann-Christine Nyström,7,,,7
1966,13,Portugal,Ele e ela,Madalena Iglésias,6,,,8
1966,14,Denmark,"Stop, mens legen er go'",Ulla Pia,4,,,2
1966,15,Netherlands,Fernando en Philippo,Milly Scott,2,,,16
1966,16,France,Chez nous,Dominique Walter,1,,,15
1966,17,Monaco,Bien plus fort,Téréza,0,,,13
1966,17,Italy,"Dio, come ti amo",Domenico Modugno,0,,,14
1967,1,United Kingdom,Puppet on a String,Sandie Shaw,47,,,11
1967,2,Ireland,If I Could Choose,Sean Dunphy,22,,,17
1967,3,France,Il doit faire beau là-bas,Noëlle Cordier,20,,,4
1967,4,Luxembourg,L'amour est bleu,Vicky,17,,,2
1967,5,Monaco,Boum-badaboum,Minouche Barelli,10,,,14
1967,6,Spain,Hablemos del amor,Raphael,9,,,12
1967,7,Belgium,Ik heb zorgen,Louis Neefs,8,,,10
1967,8,Sweden,Som en dröm,Östen Warnerbring,7,,,7
1967,8,Germany,Anouschka,Inge Brück,7,,,9
1967,8,Yugoslavia,Vse rože sveta,Lado Leskovar,7,,,15
1967,11,Italy,Non andare più lontano,Claudio Villa,4,,,16
1967,12,Portugal,O vento mudou,Eduardo Nascimento,3,,,5
1967,12,Finland,Varjoon-suojaan,Fredi,3,,,8
1967,14,Netherlands,Ring-dinge,Thérèse Steinmetz,2,,,1
1967,14,Austria,Warum es hunderttausend Sterne gibt?,Peter Horten,2,,,3
1967,14,Norway,Dukkemann,Kirsti Sparboe,2,,,13
1967,17,Switzerland,Quel cœur vas-tu briser ?,Géraldine,0,,,6
1968,1,Spain,"La, la, la",Massiel,29,,,15
1968,2,United Kingdom,Congratulations,Cliff Richard,28,,,12
